STATE,COUNTY,FIPS,POPESTIMATE2019,STNAME,CTYNAME
1,0,1000,4903185,Alabama,Alabama
1,1,1001,55869,Alabama,Autauga County
1,3,1003,223234,Alabama,Baldwin County
1,5,1005,24686,Alabama,Barbour County
1,7,1007,22394,Alabama,Bibb County
1,9,1009,57826,Alabama,Blount County
1,11,1011,10101,Alabama,Bullock County
1,13,1013,19448,Alabama,Butler County
1,15,1015,113605,Alabama,Calhoun County
1,17,1017,33254,Alabama,Chambers County
1,19,1019,26196,Alabama,Cherokee County
1,21,1021,44428,Alabama,Chilton County
1,23,1023,12589,Alabama,Choctaw County
1,25,1025,23622,Alabama,Clarke County
1,27,1027,13235,Alabama,Clay County
1,29,1029,14910,Alabama,Cleburne County
1,31,1031,52342,Alabama,Coffee County
1,33,1033,55241,Alabama,Colbert County
1,35,1035,12067,Alabama,Conecuh County
1,37,1037,10663,Alabama,Coosa County
1,39,1039,37049,Alabama,Covington County
1,41,1041,13772,Alabama,Crenshaw County
1,43,1043,83768,Alabama,Cullman County
1,45,1045,49172,Alabama,Dale County
1,47,1047,37196,Alabama,Dallas County
1,49,1049,71513,Alabama,DeKalb County
1,51,1051,81209,Alabama,Elmore County
1,53,1053,36633,Alabama,Escambia County
1,55,1055,102268,Alabama,Etowah County
1,57,1057,16302,Alabama,Fayette County
1,59,1059,31362,Alabama,Franklin County
1,61,1061,26271,Alabama,Geneva County
1,63,1063,8111,Alabama,Greene County
1,65,1065,14651,Alabama,Hale County
1,67,1067,17205,Alabama,Henry County
1,69,1069,105882,Alabama,Houston County
1,71,1071,51626,Alabama,Jackson County
1,73,1073,658573,Alabama,Jefferson County
1,75,1075,13805,Alabama,Lamar County
1,77,1077,92729,Alabama,Lauderdale County
1,79,1079,32924,Alabama,Lawrence County
1,81,1081,164542,Alabama,Lee County
1,83,1083,98915,Alabama,Limestone County
1,85,1085,9726,Alabama,Lowndes County
1,87,1087,18068,Alabama,Macon County
1,89,1089,372909,Alabama,Madison County
1,91,1091,18863,Alabama,Marengo County
1,93,1093,29709,Alabama,Marion County
1,95,1095,96774,Alabama,Marshall County
1,97,1097,413210,Alabama,Mobile County
1,99,1099,20733,Alabama,Monroe County
1,101,1101,226486,Alabama,Montgomery County
1,103,1103,119679,Alabama,Morgan County
1,105,1105,8923,Alabama,Perry County
1,107,1107,19930,Alabama,Pickens County
1,109,1109,33114,Alabama,Pike County
1,111,1111,22722,Alabama,Randolph County
1,113,1113,57961,Alabama,Russell County
1,115,1115,89512,Alabama,St. Clair County
1,117,1117,217702,Alabama,Shelby County
1,119,1119,12427,Alabama,Sumter County
1,121,1121,79978,Alabama,Talladega County
1,123,1123,40367,Alabama,Tallapoosa County
1,125,1125,209355,Alabama,Tuscaloosa County
1,127,1127,63521,Alabama,Walker County
1,129,1129,16326,Alabama,Washington County
1,131,1131,10373,Alabama,Wilcox County
1,133,1133,23629,Alabama,Winston County
2,0,2000,731545,Alaska,Alaska
2,13,2013,3337,Alaska,Aleutians East Borough
2,16,2016,5634,Alaska,Aleutians West Census Area
2,20,2020,288000,Alaska,Anchorage Municipality
2,50,2050,18386,Alaska,Bethel Census Area
2,60,2060,836,Alaska,Bristol Bay Borough
2,68,2068,2097,Alaska,Denali Borough
2,70,2070,4916,Alaska,Dillingham Census Area
2,90,2090,96849,Alaska,Fairbanks North Star Borough
2,100,2100,2530,Alaska,Haines Borough
2,105,2105,2148,Alaska,Hoonah-Angoon Census Area
2,110,2110,31974,Alaska,Juneau City and Borough
2,122,2122,58708,Alaska,Kenai Peninsula Borough
2,130,2130,13901,Alaska,Ketchikan Gateway Borough
2,150,2150,12998,Alaska,Kodiak Island Borough
2,158,2158,8314,Alaska,Kusilvak Census Area
2,164,2164,1592,Alaska,Lake and Peninsula Borough
2,170,2170,108317,Alaska,Matanuska-Susitna Borough
2,180,2180,10004,Alaska,Nome Census Area
2,185,2185,9832,Alaska,North Slope Borough
2,188,2188,7621,Alaska,Northwest Arctic Borough
2,195,2195,3266,Alaska,Petersburg Borough
2,198,2198,6203,Alaska,Prince of Wales-Hyder Census Area
2,220,2220,8493,Alaska,Sitka City and Borough
2,230,2230,1183,Alaska,Skagway Municipality
2,240,2240,6893,Alaska,Southeast Fairbanks Census Area
2,261,2261,9202,Alaska,Valdez-Cordova Census Area
2,275,2275,2502,Alaska,Wrangell City and Borough
2,282,2282,579,Alaska,Yakutat City and Borough
2,290,2290,5230,Alaska,Yukon-Koyukuk Census Area
4,0,4000,7278717,Arizona,Arizona
4,1,4001,71887,Arizona,Apache County
4,3,4003,125922,Arizona,Cochise County
4,5,4005,143476,Arizona,Coconino County
4,7,4007,54018,Arizona,Gila County
4,9,4009,38837,Arizona,Graham County
4,11,4011,9498,Arizona,Greenlee County
4,12,4012,21108,Arizona,La Paz County
4,13,4013,4485414,Arizona,Maricopa County
4,15,4015,212181,Arizona,Mohave County
4,17,4017,110924,Arizona,Navajo County
4,19,4019,1047279,Arizona,Pima County
4,21,4021,462789,Arizona,Pinal County
4,23,4023,46498,Arizona,Santa Cruz County
4,25,4025,235099,Arizona,Yavapai County
4,27,4027,213787,Arizona,Yuma County
5,0,5000,3017804,Arkansas,Arkansas
5,1,5001,17486,Arkansas,Arkansas County
5,3,5003,19657,Arkansas,Ashley County
5,5,5005,41932,Arkansas,Baxter County
5,7,5007,279141,Arkansas,Benton County
5,9,5009,37432,Arkansas,Boone County
5,11,5011,10763,Arkansas,Bradley County
5,13,5013,5189,Arkansas,Calhoun County
5,15,5015,28380,Arkansas,Carroll County
5,17,5017,10118,Arkansas,Chicot County
5,19,5019,22320,Arkansas,Clark County
5,21,5021,14551,Arkansas,Clay County
5,23,5023,24919,Arkansas,Cleburne County
5,25,5025,7956,Arkansas,Cleveland County
5,27,5027,23457,Arkansas,Columbia County
5,29,5029,20846,Arkansas,Conway County
5,31,5031,110332,Arkansas,Craighead County
5,33,5033,63257,Arkansas,Crawford County
5,35,5035,47955,Arkansas,Crittenden County
5,37,5037,16419,Arkansas,Cross County
5,39,5039,7009,Arkansas,Dallas County
5,41,5041,11361,Arkansas,Desha County
5,43,5043,18219,Arkansas,Drew County
5,45,5045,126007,Arkansas,Faulkner County
5,47,5047,17715,Arkansas,Franklin County
5,49,5049,12477,Arkansas,Fulton County
5,51,5051,99386,Arkansas,Garland County
5,53,5053,18265,Arkansas,Grant County
5,55,5055,45325,Arkansas,Greene County
5,57,5057,21532,Arkansas,Hempstead County
5,59,5059,33771,Arkansas,Hot Spring County
5,61,5061,13202,Arkansas,Howard County
5,63,5063,37825,Arkansas,Independence County
5,65,5065,13629,Arkansas,Izard County
5,67,5067,16719,Arkansas,Jackson County
5,69,5069,66824,Arkansas,Jefferson County
5,71,5071,26578,Arkansas,Johnson County
5,73,5073,6624,Arkansas,Lafayette County
5,75,5075,16406,Arkansas,Lawrence County
5,77,5077,8857,Arkansas,Lee County
5,79,5079,13024,Arkansas,Lincoln County
5,81,5081,12259,Arkansas,Little River County
5,83,5083,21466,Arkansas,Logan County
5,85,5085,73309,Arkansas,Lonoke County
5,87,5087,16576,Arkansas,Madison County
5,89,5089,16694,Arkansas,Marion County
5,91,5091,43257,Arkansas,Miller County
5,93,5093,40651,Arkansas,Mississippi County
5,95,5095,6701,Arkansas,Monroe County
5,97,5097,8986,Arkansas,Montgomery County
5,99,5099,8252,Arkansas,Nevada County
5,101,5101,7753,Arkansas,Newton County
5,103,5103,23382,Arkansas,Ouachita County
5,105,5105,10455,Arkansas,Perry County
5,107,5107,17782,Arkansas,Phillips County
5,109,5109,10718,Arkansas,Pike County
5,111,5111,23528,Arkansas,Poinsett County
5,113,5113,19964,Arkansas,Polk County
5,115,5115,64072,Arkansas,Pope County
5,117,5117,8062,Arkansas,Prairie County
5,119,5119,391911,Arkansas,Pulaski County
5,121,5121,17958,Arkansas,Randolph County
5,123,5123,24994,Arkansas,St. Francis County
5,125,5125,122437,Arkansas,Saline County
5,127,5127,10281,Arkansas,Scott County
5,129,5129,7881,Arkansas,Searcy County
5,131,5131,127827,Arkansas,Sebastian County
5,133,5133,17007,Arkansas,Sevier County
5,135,5135,17442,Arkansas,Sharp County
5,137,5137,12506,Arkansas,Stone County
5,139,5139,38682,Arkansas,Union County
5,141,5141,16545,Arkansas,Van Buren County
5,143,5143,239187,Arkansas,Washington County
5,145,5145,78753,Arkansas,White County
5,147,5147,6320,Arkansas,Woodruff County
5,149,5149,21341,Arkansas,Yell County
6,0,6000,39512223,California,California
6,1,6001,1671329,California,Alameda County
6,3,6003,1129,California,Alpine County
6,5,6005,39752,California,Amador County
6,7,6007,219186,California,Butte County
6,9,6009,45905,California,Calaveras County
6,11,6011,21547,California,Colusa County
6,13,6013,1153526,California,Contra Costa County
6,15,6015,27812,California,Del Norte County
6,17,6017,192843,California,El Dorado County
6,19,6019,999101,California,Fresno County
6,21,6021,28393,California,Glenn County
6,23,6023,135558,California,Humboldt County
6,25,6025,181215,California,Imperial County
6,27,6027,18039,California,Inyo County
6,29,6029,900202,California,Kern County
6,31,6031,152940,California,Kings County
6,33,6033,64386,California,Lake County
6,35,6035,30573,California,Lassen County
6,37,6037,10039107,California,Los Angeles County
6,39,6039,157327,California,Madera County
6,41,6041,258826,California,Marin County
6,43,6043,17203,California,Mariposa County
6,45,6045,86749,California,Mendocino County
6,47,6047,277680,California,Merced County
6,49,6049,8841,California,Modoc County
6,51,6051,14444,California,Mono County
6,53,6053,434061,California,Monterey County
6,55,6055,137744,California,Napa County
6,57,6057,99755,California,Nevada County
6,59,6059,3175692,California,Orange County
6,61,6061,398329,California,Placer County
6,63,6063,18807,California,Plumas County
6,65,6065,2470546,California,Riverside County
6,67,6067,1552058,California,Sacramento County
6,69,6069,62808,California,San Benito County
6,71,6071,2180085,California,San Bernardino County
6,73,6073,3338330,California,San Diego County
6,75,6075,881549,California,San Francisco County
6,77,6077,762148,California,San Joaquin County
6,79,6079,283111,California,San Luis Obispo County
6,81,6081,766573,California,San Mateo County
6,83,6083,446499,California,Santa Barbara County
6,85,6085,1927852,California,Santa Clara County
6,87,6087,273213,California,Santa Cruz County
6,89,6089,180080,California,Shasta County
6,91,6091,3005,California,Sierra County
6,93,6093,43539,California,Siskiyou County
6,95,6095,447643,California,Solano County
6,97,6097,494336,California,Sonoma County
6,99,6099,550660,California,Stanislaus County
6,101,6101,96971,California,Sutter County
6,103,6103,65084,California,Tehama County
6,105,6105,12285,California,Trinity County
6,107,6107,466195,California,Tulare County
6,109,6109,54478,California,Tuolumne County
6,111,6111,846006,California,Ventura County
6,113,6113,220500,California,Yolo County
6,115,6115,78668,California,Yuba County
8,0,8000,5758736,Colorado,Colorado
8,1,8001,517421,Colorado,Adams County
8,3,8003,16233,Colorado,Alamosa County
8,5,8005,656590,Colorado,Arapahoe County
8,7,8007,14029,Colorado,Archuleta County
8,9,8009,3581,Colorado,Baca County
8,11,8011,5577,Colorado,Bent County
8,13,8013,326196,Colorado,Boulder County
8,14,8014,70465,Colorado,Broomfield County
8,15,8015,20356,Colorado,Chaffee County
8,17,8017,1831,Colorado,Cheyenne County
8,19,8019,9700,Colorado,Clear Creek County
8,21,8021,8205,Colorado,Conejos County
8,23,8023,3887,Colorado,Costilla County
8,25,8025,6061,Colorado,Crowley County
8,27,8027,5068,Colorado,Custer County
8,29,8029,31162,Colorado,Delta County
8,31,8031,727211,Colorado,Denver County
8,33,8033,2055,Colorado,Dolores County
8,35,8035,351154,Colorado,Douglas County
8,37,8037,55127,Colorado,Eagle County
8,39,8039,26729,Colorado,Elbert County
8,41,8041,720403,Colorado,El Paso County
8,43,8043,47839,Colorado,Fremont County
8,45,8045,60061,Colorado,Garfield County
8,47,8047,6243,Colorado,Gilpin County
8,49,8049,15734,Colorado,Grand County
8,51,8051,17462,Colorado,Gunnison County
8,53,8053,820,Colorado,Hinsdale County
8,55,8055,6897,Colorado,Huerfano County
8,57,8057,1392,Colorado,Jackson County
8,59,8059,582881,Colorado,Jefferson County
8,61,8061,1406,Colorado,Kiowa County
8,63,8063,7097,Colorado,Kit Carson County
8,65,8065,8127,Colorado,Lake County
8,67,8067,56221,Colorado,La Plata County
8,69,8069,356899,Colorado,Larimer County
8,71,8071,14506,Colorado,Las Animas County
8,73,8073,5701,Colorado,Lincoln County
8,75,8075,22409,Colorado,Logan County
8,77,8077,154210,Colorado,Mesa County
8,79,8079,769,Colorado,Mineral County
8,81,8081,13283,Colorado,Moffat County
8,83,8083,26183,Colorado,Montezuma County
8,85,8085,42758,Colorado,Montrose County
8,87,8087,29068,Colorado,Morgan County
8,89,8089,18278,Colorado,Otero County
8,91,8091,4952,Colorado,Ouray County
8,93,8093,18845,Colorado,Park County
8,95,8095,4265,Colorado,Phillips County
8,97,8097,17767,Colorado,Pitkin County
8,99,8099,12172,Colorado,Prowers County
8,101,8101,168424,Colorado,Pueblo County
